site_name,longitude,latitude,permit_regime,town,county,permit_count
Cross Hands Meat Processing Plant,-4.0784800905381,51.791138661603625,Installation,Cross Hands,Carmarthenshire,2
Crownhill Topsoil and Aggregates,-2.7748664824313884,51.62488699108642,Waste,Caldicot,Monmouthshire,3
Crugeran Poultry Unit,-4.609744831262336,52.85740796542125,Installation,Pwllheli,Gwynedd,1
Curvolt Ltd,-3.087761841577853,51.52969976812211,Installation,Cardiff,Cardiff,1
Cwm Farm Free Range Poultry,-3.38932150362168,52.5484638456781,Installation,Newtown,Powys,1
Cwm Nant-yr-odyn,-3.177851201099632,51.650892736818655,Waste,Blackwood,Caerphilly,4
Cwm Quarries,-3.337941578979809,52.16747878661274,Waste,Builth Wells,Powys,1
Cwmafan Broiler Unit,-3.518826021111126,52.1867228857052,Installation,Builth Wells,Powys,1
Cwmamman Depot,-3.921128118820007,51.806396254456736,Waste,Ammanford,Carmarthenshire,6
Cwmbran Service Centre,-3.031675563684641,51.65676401193557,Waste,Cwmbran,Torfaen,3
Cwrt Y Plyffin Landfill,-3.317910717569915,51.97877307441613,Waste,Brecon,Powys,1
Cwrt Y Plyffin Landfill,-3.317910453722064,51.97876408607132,Waste,Brecon,Powys,6
Cymru Lan,-4.2842750614278025,53.218017170377045,Waste,Gaerwen,Ynys Mon,6
Dan Y Parc Council Depot,-3.736971714849849,51.79403838695652,Waste,Abercrave,Powys,7
Dandy's Topsoil,-2.9518195127482025,53.20617022908302,Waste,Chester,Flintshire,1
Daniel Lee Vaughan T/A K Vaughan Metals,-3.544118433789488,52.43199376112667,Waste,Llanidloes,Powys,2
David Neil,-3.744696573530789,53.19871528729091,Waste,Abergele,Conwy,4
Davies Skips Ltd,-3.809277033963357,51.66212074278175,Waste,Neath,N P T,1
Ddole Farm EPR/BV5220IH,-3.281197260564971,52.34038286871205,Installation,Llandrindod Wells,Powys,1
Deeside Engine Casting Plant,-3.0276496864630307,53.23160002535272,Installation,Deeside,Flintshire,3
Deeside Motorcycles,-3.0550313335840444,53.22106804368275,Waste,Connahs Quay,Deeside,2
Deeside Paper Mill,-3.019055777551364,53.2204732592278,Installation,Deeside,Flintshire,3
Deeside Power Station,-3.053916657676327,53.23361791054762,Installation,DEESIDE,Flintshire,2
Delyn Metals Ltd,-3.338656985121558,53.33826390393168,Waste,Holywell,Flintshire,3
Denbigh Bolus Plant EPR/JP3535SG,-3.4182990472215646,53.19316030322003,Installation,Denbigh,Clwyd,1
Denbigh Civic Amenity Site,-3.414540154263071,53.18992378306633,Waste,Denbigh,Denbighshire,7
Derwen Aggregates Ltd,-3.83729363228961,51.65341273288742,Waste,Neath,West Glam,3
Diggers Dismantlers,-3.136154425805391,51.47573942502353,Waste,Cardiff,Glamorgan,5
Dinas Community Recycling Centre,-3.4227019380112704,51.6144522928596,Waste,Porth,Rhondda Cynon Taff,7
Dirtbusters Mini & Midi Skips,-3.5083006527247558,53.30932477965626,Waste,Kinmel Bay,Conwy,7
Distribution Way EPR/DP3832EF,-3.232621060127169,51.62802201092597,Installation,Hengoed,Caerphilly,1
Docks Way Landfill,-3.0058408351355026,51.56721597724936,Waste,Newport,Gwent,2
Dolau Growers EPR/HP3036ME,-3.259392022925045,52.29620305387812,Installation,Llandridnod Wells,Powys,2
Dolau Jenkin Poultry Unit,-3.3060585576195507,52.276959151249294,Installation,Llandrindod Wells,Powys,1
Dolidre Farm,-3.3123408314671487,52.30156034891176,Installation,LLANDRINDOD WELLS,Powys,1
Dolwen Abattoir EPR/GP3235GH,-3.4801766142431023,52.457005859710016,Installation,LLANIDLOES,Powys,3
Dolyhir & Strinds Quarries,-3.114094335731446,52.21989370618698,Waste,Old Radnor,Presteigne,1
Domgay Hall Broiler Unit,-3.070731286047968,52.76656636618527,Installation,Llanymynech,Powys,1
Dow Corning Ltd,-3.2446388296415942,51.4090949982772,Waste,Barry,Glamorgan,1
Dow Corning Waste Transfer Station,-3.243619127489991,51.405958599473465,Waste,Barry,Glamorgan,6
Dowlais Slaughterhouse EPR/AP3433ES,-3.332524419885906,51.77031235061555,Installation,Merthyr Tydfil,South Wales,2
Dragon Works,-2.9350943502514912,53.17724057260189,Waste,Chester,Cheshire,6
Drefor Broiler Unit,-3.224961437729816,52.49360351291019,Installation,Newtown,Powys,1
Dyfed Recycling Services,-4.130272223557306,51.69159006531972,Waste,Llanelli,Carmarthenshire,5
Dyfi Skips,-3.891236226216214,52.574998679647415,Waste,Machynlleth,Powys,3
E & J Autospares Ltd,-3.918214869354787,51.65736987719934,Waste,Llansamlet,Swansea,4
E.J. Metals Recycling Ltd,-4.120814115840752,52.15373083753036,Waste,Lampeter,Ceredigion,3
EV Recycling,-4.116594793457682,51.69615385174786,Waste,Llanelli,Carmarthenshire,2
East Moors Waste Transfer Station,-3.1588775729714005,51.47465378185569,Waste,Cardiff,Cardiff,6
Edwards Coaches,-3.3313782535747816,51.55871307643149,Waste,Pontypridd,R C T,4
Elis UK Limited,-2.6694635547706023,51.63236897947212,Waste,Chepstow,Monmouthshire,5
Enersys Newport,-2.972685533660113,51.56856555024462,Installation,Newport,Newport,4
Enviroclear Site Services Limited,-3.0267365913251862,53.01096349801296,Waste,Wrexham,Clwyd,1
Enviroventure Waste Solutions Ltd,-4.995257677133142,51.71584077541406,Waste,Milford Haven,Pembs,4
Enviroventure Waste Solutions Recycling Facility,-4.995257677133142,51.71584077541406,Waste,Milford Haven,Pembrokeshire,7
European Metal Recycling Ltd,-3.148849395263474,51.469806933246616,Waste,Cardiff,Glamorgan,4
European Metal Recycling Ltd,-3.148828738463493,51.47013084456603,Waste,Cardiff,Glamorgan,3
Europest Environmental Services Ltd,-3.234007217939236,51.57687119098945,Waste,Caerphilly,Caerphilly,1
Events Parking Area,-3.901994775935693,52.83158027738374,Waste,Ganllwyd,Gwynedd,1
Ewloe Waste Transfer Station,-3.083420647073597,53.18690560970288,Waste,Mold,Flintshire,7
Farmers Boy (Deeside) Ltd,-3.0234174752378222,53.23631084077809,Installation,DEESIDE,Clwyd,2
Feedstock Processing Centre,-4.608251430377652,53.29918184288756,Installation,Holyhead,Isle of Anglesey,1
"Felindre, Gas Compressor Station",-3.955231073315362,51.69137093694456,Installation,SA5 7LX,West Glamorgan,1
Felinfach Effluent Treatment Plant,-4.17194677779322,52.19987311929875,Installation,Lampeter,Ceredigion,2
Fenton Home Farm,-4.919199559902213,51.81912556608314,Installation,Haverfordwest,Dyfed,1
Ferndale Community Recycling Centre,-3.4566271591038222,51.66713338737379,Waste,Ferndale,R C T,1
Ferry Road Landfill,-3.192072924849854,51.45444872240708,Waste,Cardiff,Glamorgan,1
Fford Fawr Farm EPR/KP3336MP,-3.1802944923444247,52.05093936518651,Installation,Hereford,Herefordshire,2
Ffridd Rasus Landfill,-4.112787742544693,52.88338084936155,Installation,Harlech,Gwynedd,10
Ffridd Rasus Landfill Site,-4.115367287249588,52.88293930736614,Waste,Harlech,Gwynedd,1
Ffridd Rasus Waste Management Facility,-4.112746687017449,52.883453508043445,Waste,Harlech,Gwynedd,8
Ffrwdgrech Depot,-3.4080627033152804,51.94332826228501,Waste,Brecon,Powys,2
Five Fords WWTW Gas to Grid Facility,-2.946552437391171,53.054014202342096,Installation,Wrexham,Wrexham,4
Five Lanes Transfer Station And H W R C,-2.8049905890229025,51.615333115574536,Waste,Caldicott,Monmouthshire,1
Flint Paper Mill EPR/BJ9703IM,-3.145544974690765,53.25371736063136,Installation,Flint,Flintshire,2
Flintshire Commercial Dismantlers,-3.20689622821998,53.28991417182325,Waste,Holywell,Flintshire,2
Flintshire Commercial Dismantlers,-3.205998773979045,53.2910738817984,Waste,Holywell,Flintshire,4
Flintspeed Car & Commercial Dismantlers,-3.220762605688918,53.29480701536862,Waste,Holywell,Flintshire,5
Fordpad Scrap,-3.811744207922767,51.65437633509802,Waste,Neath,N P T,2
Former J R Steelworks,-3.970304751697868,51.67698291639208,Waste,Swansea,West Galmorgan,3
Former Morlais Colliery,-4.064866577016646,51.703234731797046,Waste,Llanelli,Carmarthenshire,3
Four Crosses Farm,-3.175133628573981,52.8007107823031,Installation,OSWESTRY,Shropshire,1
Fred Lloyd & Sons Ltd,-3.016453585148093,51.69360016129466,Waste,Pontypool,Gwent,5
Fred Lloyd & Sons Ltd,-3.016365182209766,51.69352899442452,Waste,Pontypool,Gwent,2
Fron Bella Broiler Unit,-3.645980436574447,53.05841990810175,Installation,Betws Y Coed,Conwy,1
Fron Haul Quarry,-3.259774798910578,53.22399634657815,Waste,Mold,Flintshire,1
Frongoch Lead Mine,-3.8784054627062727,52.35327261717052,Waste,Aberystwyth,Ceredigion,1
Full Moon Waste Transfer Station,-3.139223942253792,51.61554103415215,Waste,Newport,Caerphilly,1
G D Environmental Services Ltd,-2.974585897054226,51.566346824305626,Waste,Newport,Gwent,7
G Davies Skip Hire,-3.7670153732699663,51.61200328336094,Waste,Port Talbot,N P T,7
G Lock Scrap Metal Processors,-4.110522829512761,53.21841744070008,Waste,Bangor,Gwynedd,4
G O N Granite,-3.3556617092345937,53.141624061748,Waste,Denbigh,Denbighshire,1
G P Motorcycles,-3.348864977247941,51.595362163747765,Waste,Pontypridd,R C T,5
GLJ Recycling,-3.1330837977165804,51.63402440937772,Installation,Newport,Caerphilly,1
GP Biotec Ltd,-3.2251923798348123,52.00705374930046,Installation,Brecon,Powys,6
GP Biotec Waste Storage,-3.230258965921468,52.00905091776419,Waste,Brecon,Powys,1
Gardden Claypit 1 Midlands,-3.043079379477904,52.99518837627362,Waste,Wrexham,Clwyd,1
Garngoch Civic Amenity Site,-3.65257214564536,51.65105085831103,Waste,Garngoch Ind Est,Llansamle,4
Garth Isaf Farm,-3.306105810436688,51.54969054581453,Waste,Pontypridd,Rhondda Cynon Taf,6
Gate 1,-4.95141607100233,51.69407966204191,Waste,Pembroke Dock,Pembroke,5
Gaufron Farm,-3.4059512804803034,52.20052103081386,Installation,Llandrindod Wells,Powys,1
Gelert House M R F,-4.146384802913983,52.93192306659615,Waste,Porthmdaog,Gwynedd,1
Gelli C A Site,-3.477854743287885,51.64180766593602,Waste,Gelli,Mid Glamorgan,1
